stations,district
Район Арбат,ЦАО
Район Басманный,ЦАО
Район Замоскворечье,ЦАО
Район Красносельский,ЦАО
Мещанский район,ЦАО
Пресненский район,ЦАО
Таганский район,ЦАО
Тверской район,ЦАО
Район Хамовники,ЦАО
Район Якиманка,ЦАО
Район Аэропорт,САО
Район Беговой,САО
Район Бескудниковский,САО
Район Войковский,САО
Район Головинский,САО
Район Восточное Дегунино,САО
Район Западное Дегунино,САО
Район Дмитровский,САО
Район Коптево,САО
Район,ЗАО
Левобережный,САО
Район Молжаниновский,САО
Савёловский,САО
Сокол,САО
Тимирязевский,САО
Ховрино,САО
Хорошёвский,САО
Район Алексеевский,СВАО
Район Алтуфьевский,СВАО
Район Бабушкинский,СВАО
Район Бибирево,СВАО
Район Бутырский,СВАО
Район Лианозово,СВАО
Район Лосиноостровский,СВАО
Район Марфино,СВАО
Район Марьина роща,СВАО
Медведково,СВАО
Останкинский,СВАО
Отрадное,СВАО
Ростокино,СВАО
Свиблово,СВАО
Северный,СВАО
Ярославский,СВАО
Район Богородское,ВАО
Район Вешняки,ВАО
Район Восточный,ВАО
Район Гольяново,ВАО
Район Ивановское,ВАО
Район  Измайлово,ВАО
Район  Косино-Ухтомский,ВАО
Район Метрогородок,ВАО
Район Новогиреево,ВАО
Район Новокосино,ВАО
Район Перово,ВАО
Район Преображенское,ВАО
Район Соколиная гора,ВАО
Район Сокольники,ВАО
Район Выхино-Жулебино,ЮВАО
Район Капотня,ЮВАО
Район Кузьминки,ЮВАО
Район Лефортово,ЮВАО
Район Люблино,ЮВАО
Район Марьино,ЮВАО
Район Некрасовка,ЮВАО
Нижегородский,ЮВАО
Печатники,ЮВАО
Рязанский,ЮВАО
Текстильщики,ЮВАО
Южнопортовый,ЮВАО
Район Восточное Бирюлёво,ЮАО
Район Западное Бирюлёво,ЮАО
Район Братеево,ЮАО
Район Даниловский,ЮАО
Район Донской,ЮАО
Район Зябликово,ЮАО
Район Москворечье-Сабурово,ЮАО
Район Нагатино-Садовники,ЮАО
Район Нагатинский затон,ЮАО
Район Нагорный,ЮАО
Район Северное Орехово-Борисово,ЮАО
Район Южное Орехово-Борисово,ЮАО
Район Царицыно,ЮАО
Район Северное Чертаново,ЮАО
Район Центральное Чертаново,ЮАО
Район Южное Чертаново,ЮАО
Район Академический,ЮЗАО
Район Северное Бутово,ЮЗАО
Район Южное Бутово,ЮЗАО
Район Гагаринский,ЮЗАО
Район Зюзино,ЮЗАО
Район Коньково,ЮЗАО
Район Котловка,ЮЗАО
Ломоносовский,ЮЗАО
Обручевский,ЮЗАО
Тёплый Стан,ЮЗАО
Черёмушки,ЮЗАО
Ясенево,ЮЗАО
Район Внуково,ЗАО
Район Дорогомилово,ЗАО
Район Крылатское,ЗАО
Район Кунцево,ЗАО
Район Можайский,ЗАО
Район Ново-Переделкино,ЗАО
Район Очаково-Матвеевское,ЗАО
Район Проспект Вернадского,ЗАО
Раменки,ЗАО
Солнцево,ЗАО
Тропарёво-Никулино,ЗАО
Филёвский парк,ЗАО
Фили-Давыдково,ЗАО
Район Куркино,СЗАО
Район Митино,СЗАО
Район Покровское-Стрешнево,СЗАО
Район Строгино,СЗАО
Район Северное Тушино,СЗАО
Район Южное Тушино,СЗАО
Район Хорошёво-Мневники,СЗАО
Район Щукино,СЗАО
